20themes,20words,NAME
1,"quartier, ville, logement, ménage, rue, Paris, bâtiment, arrondissement, gentrification, banlieue, centralité, exclusion, parc, réhabilitation, gang, femme, recensement, immeuble, carte, mobilité",Quartier
2,"déplacement, mobilité, densité, accessibilité, indicateur, simulation, modélisation, scénario, agent, aire, vitesse, simuler, trajet, ville, ménage, indice, étalement, espèce, consommation, agglomération",Deplacement
3,"image, sol, occupation, surface, végétation, carte, résolution, pixel, paysage, feu, forêt, classification, eau, savane, canal, bâti, télédétection, satellite, indice, densité",Image
4,"aménagement, gouvernance, urbanisme, durabilité, document, participation, État, gestion, Loire, barrage, indicateur, consultation, union, citoyen, coopération, ambiance, ouvrage, Lyon, coordination, commission",Amenagement
5,"risque, vulnérabilité, aléa, inondation, ville, eau, catastrophe, gestion, événement, scénario, carte, éruption, prévention, résilience, crue, accident, séisme, écosystème, submersion, tremblement",Risque
6,"entreprise, santé, soin, migrant, capital, meubler, client, location, compagnie, ville, aéroport, Internet, usine, revenu, inégalité, télétravail, technologie, province, gestion, investisseur",Entreprise
7,"the, and, The, for, are, that, with, from, géomorphologie, area, this, haver, Paris, not, was, one, their, which, also, between",EN
8,"indice, agent, graphe, sommet, montagne, mangrove, indicateur, simulation, cimetière, cellule, couleur, ségrégation, Humboldt, voisinage, longueur, contraste, surface, canal, nœud, boîte",Indice
9,"ville, femme, rue, nuit, paysage, Moscou, plage, jardin, photographie, mer, image, voyage, voyageur, hôtel, monument, Saint-Pétersbourg, art, fête, bâtiment, Russie",Ville_Femme
10,"eau, exploitation, gestion, agriculteur, agriculture, parcelle, espèce, biodiversité, forêt, exploitant, zonage, parc, commune, trame, sol, bassin, débit, élevage, aménagement, côte",Eau
11,"carte, cartographie, revue, http, image, atlas, www, logiciel, auteur, science, format, émission, publication, page, géographe, diaspora, cartographe, discipline, géographie, sémiologie",Carte
12,"géographie, géographe, auteur, ouvrage, science, texte, chapitre, livre, discipline, mot, thèse, Géographie, Paris, lecteur, mondialisation, pensée, Reclus, monsieur, page, colloque",Geographie
13,"île, élève, géographie, enseignement, identité, image, Université, joueur, Japon, enseignant, archipel, magazine, texte, professeur, Paris, Arendt, Maurice, lecteur, enseigner, mot",Ile
14,"ville, agglomération, métropole, aire, urbanisation, bureau, aménagement, Paris, entreprise, municipalité, décroissance, densité, urbanisme, recensement, banlieue, étalement, logement, métropolisation, États-Unis, Londres",Ville_Agglomeration
15,"frontière, Chine, État, États, Brésil, Asie, nation, peuple, Rio, coopération, São, village, Russie, guerre, Etat, identité, république, Québec, colonisation, États-Unis",Frontiere
16,"vote, carte, parti, élection, cluster, score, indice, droit|droite, candidat, liste, Italie, participation, département, CPNT, canton, octobre, électorat, scrutin, circonscription, édition",Vote
17,"commune, pôle, département, surface, carte, université, étudiant, recensement, bassin, agglomération, Paris, prévalence, revenu, travailleur, ville, personnel, migration, rang, INSEE, euro",Commune
18,"village, saison, pluie, station, vallée, précipitation, vitesse, pêche, carte, paysan, température, pêcheur, eau, fleuve, tronçon, forage, mare, événement, troupeau, remontée",Village
19,"paysage, patrimoine, image, touriste, Afrique, tourisme, vallée, musée, lande, plante, montagne, photo, visiteur, classement, photographie, front, forêt, guide|guides, apartheid, parc",Paysage
