ID,Mobility and transportation,Imagery and GIS,Climate and environment,History and epistemology,Sustainability risk planning,Economic geography,Development territory system of cities,Urban dynamics,Statistics and modeling,Emotional geography
88,0,0,0,1,0,0,0,0,0,0
90,0,0,0,0,0.8571428571,0,0,0.1428571429,0,0
7242,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0
2856,0,0.6,0.2,0,0,0,0,0,0.2,0
129,0,1,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0.5,0.5,0
148,0,0.6666666667,0,0.1666666667,0,0,0,0,0.1666666667,0
361,0,0.5,0,0,0,0,0,0,0.5,0
153,0,0.4,0,0.4,0,0,0,0.2,0,0
168,0,0.4,0,0,0,0,0.2,0.2,0.2,0
194,0,0.4444444444,0,0.2222222222,0,0,0,0,0.3333333333,0
213,0,0,0,1,0,0,0,0,0,0
221,0,0.5,0,0.5,0,0,0,0,0,0
5782,0,0,0.5,0,0,0,0.5,0,0,0
4020,0,0.4,0,0,0,0,0,0,0.6,0
22410,0,0,0,0.625,0.125,0,0,0.125,0.125,0
22447,0,0,0,0,1,0,0,0,0,0
1796,0,0,0,1,0,0,0,0,0,0
6736,1,0,0,0,0,0,0,0,0,0
22918,0.25,0,0,0.75,0,0,0,0,0,0
333,0,0,0,0,0,0,1,0,0,0
5995,0,0.1428571429,0,0,0.7142857143,0,0,0,0.1428571429,0
343,0,0,0,0.4,0,0,0,0,0.6,0
1590,0,0,0,0.2857142857,0.4285714286,0,0,0,0.2857142857,0
1671,0,0,0,0,0,0,0.3333333333,0,0.6666666667,0
373,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
385,0,0,0,0,0,0,0.2,0,0.8,0
393,0,0,0,0,0.1666666667,0.5,0.3333333333,0,0,0
6785,0.125,0,0,0,0,0,0.25,0.375,0,0.25
7058,0,0.4,0,0,0,0,0,0.6,0,0
1644,0.1666666667,0.1666666667,0,0,0,0.1666666667,0.1666666667,0,0.3333333333,0
1627,0,0,0,0.2,0,0,0,0.2,0.6,0
554,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0.5,0.5,0
4811,0,0.4,0,0,0.4,0,0,0,0.2,0
4825,0,0,0,0,0,0,0,0,1,0
823,0,0,0,0.6666666667,0,0,0,0,0,0.3333333333
889,0,0.3333333333,0,0,0,0,0,0.3333333333,0.3333333333,0
897,0,0,0,0.1428571429,0,0,0,0.1428571429,0.5714285714,0.1428571429
911,0,0.5,0,0,0,0,0,0,0.5,0
938,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
990,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0,0
996,0,0.25,0,0,0.75,0,0,0,0,0
1008,0,0,0,0.5,0,0,0.5,0,0,0
1023,0,0,0,0.4,0,0.2,0.2,0.2,0,0
1035,0,0,0,0,0,0,0,0,1,0
4150,0.25,0,0,0.25,0,0,0.25,0,0.25,0
1059,0,0,0,1,0,0,0,0,0,0
1069,0,0,0,0.25,0,0,0.5,0.25,0,0
1075,0,0,0,0.75,0,0,0,0,0,0.25
1088,0,0,0,0.4,0,0,0.2,0.2,0.2,0
1103,0,0,0,0.4,0,0,0.2,0.2,0,0.2
1114,0,0,0,1,0,0,0,0,0,0
1147,0,0,0,0.6666666667,0.1666666667,0,0,0.1666666667,0,0
1162,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
1170,0,0,0,0,0,0,0,0.8571428571,0,0.1428571429
1185,0.25,0,0,0,0,0,0,0.5,0,0.25
1196,0,0,0,0.75,0,0,0,0.25,0,0
1203,0.1666666667,0,0,0.5,0,0,0,0.3333333333,0,0
1226,0,0,0,0,0,0,0,0,1,0
1240,0,0,0,0,0.5,0,0,0.5,0,0
1249,0,0,0.3333333333,0,0,0.6666666667,0,0,0,0
1260,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
1272,0,0.25,0,0,0.5,0,0,0,0.25,0
1282,0,0,0.25,0,0.25,0,0.25,0.25,0,0
1296,0,0,0.6666666667,0,0,0,0,0.3333333333,0,0
1306,0,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,0,0
1312,0,0.5,0,0,0.5,0,0,0,0,0
1318,0,0,0.5,0,0,0,0.5,0,0,0
1413,0.3333333333,0.3333333333,0.3333333333,0,0,0,0,0,0,0
1419,0,0,0,0,0.25,0,0.5,0.25,0,0
1427,0,0,0.5,0,0.5,0,0,0,0,0
1435,0.25,0,0,0,0.25,0,0.25,0.25,0,0
3684,0.2,0.6,0,0,0,0,0,0,0.2,0
6106,0,0.4,0.2,0.2,0.2,0,0,0,0,0
1448,0,0,0.8333333333,0,0,0,0.1666666667,0,0,0
1467,0,0,0.5,0.5,0,0,0,0,0,0
1478,0,0,0.5,0,0,0,0.25,0.25,0,0
1486,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
1496,0,0,0,0,0.6666666667,0,0,0.3333333333,0,0
1504,0.25,0,0.5,0,0,0,0,0.25,0,0
1514,0,0,0,0,0,0,1,0,0,0
4269,0,0,0,0,0,0.25,0,0,0.25,0.5
1551,0,0.5,0,0,0,0,0,0,0.5,0
27010,0,0,0,0,0.4,0,0,0.2,0,0.4
1564,0,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0
1546,0,0,0,0,0,0,0,0,1,0
2636,0,0,0,0,0,0,0,0.1428571429,0.7142857143,0.1428571429
2711,0,0.6666666667,0,0,0,0,0,0,0.3333333333,0
4078,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
4087,0,0,0.5,0.25,0.25,0,0,0,0,0
1708,0,0,0.75,0,0.25,0,0,0,0,0
3108,0,0,0,0.3333333333,0,0,0,0,0.6666666667,0
1784,0,1,0,0,0,0,0,0,0,0
1739,0,0,0,0.25,0.25,0,0.25,0.25,0,0
1750,0,0,0,0,0,0,0,1,0,0
2683,0,0,0.1428571429,0.1428571429,0,0.7142857143,0,0,0,0
6470,0,0.5,0,0.5,0,0,0,0,0,0
20573,0.25,0.25,0,0,0.25,0,0,0.25,0,0
20563,0,0,0,0,0,0,0.3333333333,0,0,0.6666666667
4056,0,0.25,0,0,0,0,0,0,0.75,0
4065,0,0,0,1,0,0,0,0,0,0
1808,0,0.25,0,0.75,0,0,0,0,0,0
1824,0,0,0,0.2,0,0,0.2,0.4,0.2,0
1836,0,0,0,0.125,0.125,0,0.25,0.25,0,0.25
3925,1,0,0,0,0,0,0,0,0,0
1866,0.5,0,0,0,0,0,0,0.25,0.25,0
2519,0,0,0,0.2,0,0,0.4,0.4,0,0
4233,0,0.6,0,0,0.2,0,0,0,0.2,0
3670,0,0.2,0,0,0,0,0.2,0,0.4,0.2
3669,0,0,0,0,0,0.1666666667,0,0.3333333333,0.5,0
3747,0,0.4,0.2,0.2,0,0.2,0,0,0,0
1931,0,0,0,0.1666666667,0,0,0.1666666667,0.5,0.1666666667,0
4252,0,0.4,0,0,0.6,0,0,0,0,0
5355,0.25,0.25,0,0,0.5,0,0,0,0,0
3851,0,0,0,0,0,0,0.25,0.75,0,0
4188,0,0.3333333333,0,0,0,0,0,0.1666666667,0.5,0
1965,0,0.2,0,0.2,0.4,0,0,0.2,0,0
1979,0.0666666667,0.0666666667,0,0.0666666667,0.2,0,0.0666666667,0.4666666667,0,0.0666666667
