""	"0"	"0"
"17200218633560977223"	"0"	"0"
"17597256972498235486"	"0"	"25"
"8470495918768681902"	"0"	"0"
"5437595076989925763"	"2"	"19"
"10121767262470765240"	"0"	"0"
"9978289116059688680"	"1"	"12"
"13801050957174211136"	"4"	"11"
"347101222304199932"	"0"	"0"
"7582614944283045405"	"4"	"4"
"4969135363021436624"	"5"	"3"
"8623604713368496097"	"1"	"7"
"17948322562173069899"	"0"	"0"
"3005661598294449437"	"0"	"0"
"7822621148908246065"	"0"	"0"
"12993650111889667557"	"2"	"0"
"265640784521652114"	"1"	"7"
"2709446524504735906"	"0"	"0"
"1439913501036881610"	"1"	"4"
"13413317273949398303"	"2"	"2"
"10854929410844065967"	"4"	"8"
"23480307018031679"	"0"	"0"
"15671947571864180485"	"0"	"1"
"15004356442878888290"	"0"	"0"
"9081606597072342538"	"4"	"46"
"8962954501059411426"	"0"	"0"
"2657537213624397716"	"0"	"0"
"615768415335916081"	"3"	"3"
"10434997229763928446"	"0"	"26"
"18360470565833581660"	"3"	"0"
"12526526596166894173"	"1"	"0"
"3166843236192195663"	"2"	"23"
"11690757557790093336"	"0"	"0"
"692529870056066013"	"0"	"0"
"3376226952122960110"	"3"	"13"
"6929862748575598442"	"2"	"21"
"10025118775927327514"	"11"	"9"
"6911322190713225005"	"0"	"18"
"1717540812823400770"	"0"	"0"
"16781310828629088044"	"1"	"6"
"6519434595329742739"	"1"	"0"
"4594071399178965975"	"0"	"0"
"9556221552968139623"	"0"	"0"
"7957893154842579025"	"0"	"0"
"4944003448985227971"	"3"	"7"
"12317603598572057917"	"0"	"7"
"14566097579105013627"	"3"	"4"
"736719056624776701"	"0"	"0"
"7806833989646099925"	"0"	"0"
"11000583779111601121"	"0"	"0"
"15831176535948944720"	"0"	"0"
"9540758534282091359"	"9"	"19"
"11755519673293403106"	"2"	"0"
"8169146318677742876"	"9"	"9"
"11187980269061202513"	"12"	"3"
"10357671734870650567"	"0"	"0"
"1104345937340846293"	"0"	"0"
"2796642889068211356"	"14"	"5"
"336883715354745052"	"5"	"0"
"6875643103354769761"	"3"	"0"
"872891991941436848"	"0"	"0"
"13681896154766201310"	"17"	"9"
"13231756017417926064"	"0"	"0"
"3270115123307017782"	"0"	"0"
"18028858323441865951"	"12"	"32"
"7285305135530552617"	"1"	"1"
"16501420394885114477"	"15"	"0"
"10452945177610020203"	"0"	"0"
"4477606721911064965"	"0"	"2"
"692639364031775036"	"16"	"64"
"16082939657551574815"	"0"	"0"
"13066922867349840126"	"0"	"0"
"6763491264988098057"	"0"	"0"
"11993946615169947731"	"13"	"4"
"1572685096933810526"	"24"	"3"
"763284122662271347"	"1"	"14"
"10607680078577826658"	"0"	"0"
"1925571629944263238"	"2"	"18"
"11532739560791309382"	"4"	"0"
"10301658521078326355"	"0"	"2"
"16071811597336120749"	"1"	"19"
"3634303409448175471"	"0"	"0"
"16596913109677278452"	"0"	"0"
"9011177800405190403"	"1"	"0"
