"id"	"UID"	"SCHID"	"Title"	"Title_en"	"keywords_en"	"keywords_fr"	"authors"	"date"	"langue"	"translated"	"numciting"	"numcited"
"26961"	""	"8286088610737581491"	"Roger Dion, toujours vivant !"	""	";wine quality;caractéristique du terroir;area;territory;paysage;territoire;complex system;système complexe;qualité du vin;landscape;soil characteristic"	"système complexe,paysage,territoire,qualité du vin,caractéristique du terroir"	";Marius , Chevallier;Etienne , Delay"	"2015-05-06"	"fr"	"false"	"0"	"26"
"26828"	""	"13495459281033859176"	"Fol S., Miot Y., Vignal C. (dir.), 2014, Mobilités résidentielles, territoires et politiques publiques, Villeneuve-d’Ascq, Presses universitaires du Septentrion, 255 p."	""	""	""	";Gabriel , Dupuy"	"2015-03-09"	"fr"	"false"	"0"	"0"
"5111"	"T0419"	""	"La résilience d'un système spatial : l'exemple du Comtat"	"Resilience of a spatial system : the example of the Comtat"	";approche diachronique;spatial system;résilience;system’s analysis;diachronical approach;agriculture;analyse systémique;resilience;environment;système spatial;le Comtat;environnement;the Comta"	"agriculture,analyse systémique,approche diachronique,environnement,le Comtat,résilience,système spatial"	";Christina , Aschan-Leygonie"	"1999-06-16"	"fr"	"true"	"0"	"0"
"5826"	""	"5694756131468578291"	"Urban Densities and socio-residential organisation<br>Example of the urban area of Hamburg (Germany)"	""	";intra-urban space;density models;urban ecology;modèle densitaire;factor analysis;espace intra-urbain;analyse factorielle;transformation;écologie urbain"	"analyse factorielle,écologie urbaine,espace intra-urbain,modèle densitaire,transformation"	";Anne-Marie , Meyer"	"2003-08-02"	"en"	"false"	"0"	"22"
"2636"	""	"14742108451918218311"	"Une piste pour la recherche de la &quot;valeur centrale optimale&quot;.<br>Discussion autour de la robustesse et du comportement de la &quot;médienne&quot;, combinaison de normes L<sub>p</sub>"	"Finding the optimal central location. A discussed approach using the meAdian Lp-norm and its robustness"	";location estimator;médienne;filtrage spatial;bootstrap;valeur centrale;meadian;norme Lp;Lp-norm;spatial filtering;central tendency;robustness;robustess"	"bootstrap,filtrage spatial,médienne,norme Lp,robustesse,valeur centrale"	";Didier , Josselin"	"2004-08-25"	"fr"	"true"	"0"	"0"
"796"	""	"2470866951207827874"	"BESSE Jean-Marc, 2003, <em>Face au monde. Atlas, jardins, géoramas,</em> Paris, Desclée de Brouwer, Coll. Arts et esthétique, 244 p."	""	""	""	";Henri , Chamussy"	"2004-01-22"	""	"false"	"0"	"0"
"6561"	"T0617"	"10163691828183545996"	"Recherche sur la décollectivisation des campagnes dans les pays de l'Europe Centrale et Orientale"	"Research in rural areas decollectivization in PECO"	";télédétection;remote sensin"	"télédétection"	";Michel , Sivignon;Jean-Paul , Gilg"	"2000-05-05"	"fr"	"true"	"0"	"0"
"24766"	"T1004"	"347101222304199932"	"Réaction à la pétition sur l'agrégation"	""	""	""	";Gilles , Palsky"	"2001-01-30"	"fr"	"false"	"0"	"0"
"5531"	"T0309"	"10900616662933262644"	"Quand l’INSEE projette d’enterrer le recensement de population... et la Géographie avec !"	""	";France;recensement;populatio"	"France,population,recensement"	";Michel , Bussi"	"1999-06-20"	"fr"	"false"	"0"	"0"
"25682"	"T1110"	""	"Brake K., Herfert G. (dir.), 2012, Reurbanisierung. Materialität und Diskurs in Deutschland. Wiesbaden, Springer, 422 p. [La ré-urbanisation en Allemagne, entre réalités et discours.]"	""	";Allemagne;urbanisatio"	"Allemagne,urbanisation"	";Hélène , Roth"	"2013-01-23"	"fr"	"false"	"0"	"0"
