"","UNIQID","Title","DatePublication","Rubrique","Auteur","TypeDocument","Disponibilite","VisuTot","Visu07","Visu08","Visu09","Visu10","Visu11","Visu12","Visu13","Visu14"
"1","T0001","El ambulantaje en imágenes : una historia de representaciones de la venta callejera en la Ciudad de México (siglos XVIII-XX)","19-04-2007","Transversalités Dossiers 2007-2006 Ambulantage et métropolisation","Martha De AlbaArnaud ExbalinGeorgina Rodríguez","Article","Texte intégral",50259,6186,11178,8766,8009,6878,5855,2038,1349
"2","T0002","L’accessibilité, marqueur des inégalités de rayonnement des villes portuaires en Europe","11-07-2006","Rubriques Systèmes, Modélisation, Géostatistiques 2006","Laurent Chapelon","Article","Texte intégral",35910,2546,6784,5459,5821,6742,3420,2624,2514
"3","T0003","The Amur River border. Once a symbol of conflict, could it turn into a water resource stake?","30-07-2003","Rubriques Environnement, Nature, Paysage 2003","Frédéric Lasserre","Article","Texte intégral",25410,2460,6375,4350,3918,3727,1772,1140,1668
"4","T0004","La nouvelle carte du Québec : illustration de la nation ?","12-10-2001","Rubriques Politique, Culture, Représentations 2001","Frédéric Lasserre","Article","Texte intégral",16763,2406,5735,3536,1833,1269,671,471,842
"5","T0005","Le rayonnement spatial des villes tunisiennes à travers la diffusion des entreprises multi-établissements pour l’innovation","16-04-2007","Rubriques Espace, Société, Territoire 2007","Amor Belhedi","Article","Texte intégral",18919,1941,3559,3122,2774,2726,2115,1304,1378
"6","T0006","Análisis de la producción potencial de energía con Biomasa en la región de Andalucía (España) utilizando Sistemas de Información Geográfica","15-11-2000","Rubriques Environnement, Nature, Paysage 2000","Javier DominguezM. Jesus. Marcos","Article","Texte intégral",17417,1668,4504,3592,2160,1608,1567,1431,887
"7","T0007","Le tourisme international en Afrique du Sud","12-12-2005","Rubriques Espace, Société, Territoire 2005","Marie-Annick Lamy-GinerJean-Louis Guébourg","Article","Texte intégral",36396,1614,3626,2897,2381,2871,4407,8732,9868
"8","T0008","Revue de la typologie des éruptions au Piton de La Fournaise, processus et risques volcaniques associés","30-03-2006","Rubriques Environnement, Nature, Paysage 2006","Nicolas VilleneuvePatrick Bachèlery","Article","Texte intégral",21187,1602,3424,2341,1878,1394,3171,3538,3839
"9","T0009","La industria cultural en el mundo. Estructura, composición y distribución territorial de los grupos multimedia en España","23-08-2004","Rubriques Espace, Société, Territoire 2004","Agustín Gámir Orueta","Article","Texte intégral",23093,1557,4091,4238,2092,2400,3037,2992,2686
"10","T0010","La ségrégation résidentielle dans les plus grandes villes françaises (1968-1999) : quel modèle urbain ?","19-09-2007","Rubriques Espace, Société, Territoire 2007","Markus Schwabe","Article","Texte intégral",20001,1526,6020,3186,1799,1538,2050,1769,2113
"11","T0011","Un système multi-scalaire, ses espaces de référence et ses mondes. L’Atlas Vidal-Lablache","25-03-2004","Transversalités Dossiers 2005-2002 Journée à l'EHESS (Ecole des Hautes Etudes en Sciences Sociales). Echelles et territoires, Paris, France, 29 avril 2002","Marie-Claire Robic","Article","Texte intégral",12620,1429,2512,1754,1216,1771,1118,1335,1485
"12","T0012","Espace agricole périurbain et politiques communales d’aménagement :L’exemple de l’agglomération albigeoise","05-03-2002","Rubriques Aménagement, Urbanisme 2002","Isabelle Duvernoy","Article","Texte intégral",16556,1423,3264,3226,1729,1494,1952,1732,1736
"13","T0013","Territoire et immigration en Espagne. Une étude de cas en Palma de Mallorca et León","22-06-2004","Rubriques Espace, Société, Territoire 2004","Jesús M. González PérezJosé Somoza Medina","Article","Texte intégral",22900,1409,4219,3343,1705,1529,2554,3914,4227
"14","T0014","Cartographie du risque naturel dans le monde. Etude comparative entre une approche d’ordre social et une approche d’ordre économique de la vulnérabilité","16-09-2004","Rubriques Environnement, Nature, Paysage 2004","Gilles André","Article","Texte intégral",42609,1279,4109,4411,3713,4953,4645,6603,12896
"15","T0015","Géocriminologie, quand la cartographie permet aux géographes d’investir la criminologie","08-06-2007","Rubriques Cartographie, Imagerie, SIG 2007","Claire CuntyFabrice FussyPascale Perez","Article","Texte intégral",11126,1237,2098,1864,1095,967,1370,1255,1240
"16","T0016","L’ambulantage : Représentations du commerce ambulant ou informel et métropolisation","17-10-2006","Rubriques Politique, Culture, Représentations 2006","Jérôme Monnet","Article","Texte intégral",15887,1228,3085,2733,1712,1312,1479,2054,2284
"17","T0017","Tsunami en Asie du Sud-Est : retour sur la gestion d’un cataclysme naturel apocalyptique","14-10-2005","Rubriques Environnement, Nature, Paysage 2005","Pierre OzerFlorence De Longueville","Article","Texte intégral",42894,1209,4301,5079,3050,4228,7978,8149,8900
"18","T0018","Vulnérabilité et transport de matières dangereuses :une méthode d’aide à la décision issue de l’expertise de la Sécurité Civile","12-01-2007","Rubriques Systèmes, Modélisation, Géostatistiques 2007","Chloé Griot","Article","Texte intégral",20590,1188,2938,2838,4535,2022,2637,2453,1979
"19","T0019","Katrina et la Nouvelle-Orléans : entre risque &quot;naturel&quot; et aménagement par l'absurde","12-10-2006","Rubriques Aménagement, Urbanisme 2006","François Mancebo","Article","Texte intégral",19273,1073,3309,4190,1320,1225,2180,3217,2759
"20","T0020","The impact of gated Communities on property values: evidence of changes in real estate markets -Los Angeles, 1980-2000","16-05-2007","Transversalités Dossiers 2007-2006 Systemic impacts and sustainability of gated enclaves in the City, Pretoria, South Africa, Feb.28-March 3, 2005","Renaud Le Goix","Article","Texte intégral",13881,1050,2369,2703,1805,1572,1410,1425,1547
"21","T0021","Évolution et diffusion spatiale du travail frontalier en Alsace (1968-1999)","03-09-2003","Rubriques Espace, Société, Territoire 2003","Cécile Buxeda","Article","Texte intégral",7856,976,1988,1491,1161,822,535,440,443
"22","T0022","L’apport des petites agglomérations dans la croissance urbaine en Algérie","20-10-2003","Rubriques Espace, Société, Territoire 2003","Mohamed ChadliAli Hadjiedj","Article","Texte intégral",15378,970,3000,2772,2029,1902,2080,1398,1227
