"id","SCHID","title","title_en","keywords_en","keywords_fr","authors","date","langue","translated","DatePublication","Rubrique","Auteur","TypeDocument","Disponibilite","VisuTot","Visu07","Visu08","Visu09","Visu10","Visu11","Visu12","Visu13","Visu14","citedby","citing"
26961,"8286088610737581491","Roger Dion, toujours vivant !","",";wine quality;caractéristique du terroir;area;territory;paysage;territoire;complex system;système complexe;qualité du vin;landscape;soil characteristic","système complexe,paysage,territoire,qualité du vin,caractéristique du terroir",";Marius , Chevallier;Etienne , Delay","2015-05-06","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10
26828,"13495459281033859176","Fol S., Miot Y., Vignal C. (dir.), 2014, Mobilités résidentielles, territoires et politiques publiques, Villeneuve-d’Ascq, Presses universitaires du Septentrion, 255 p.","","","",";Gabriel , Dupuy","2015-03-09","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
5111,"","La résilience d'un système spatial : l'exemple du Comtat","Resilience of a spatial system : the example of the Comtat",";approche diachronique;spatial system;résilience;system’s analysis;diachronical approach;agriculture;analyse systémique;resilience;environment;système spatial;le Comtat;environnement;the Comta","agriculture,analyse systémique,approche diachronique,environnement,le Comtat,résilience,système spatial",";Christina , Aschan-Leygonie","1999-06-16","fr","true","16-06-1999","Transversalités Dossiers 1999 4èmes Rencontres de Théo Quant, Besançon, France 11-12 février 1999","Christina Aschan-Leygonie","Article","Résumé",1439,108,260,223,162,165,185,204,132,NA,NA
5826,"5694756131468578291","Urban Densities and socio-residential organisationExample of the urban area of Hamburg (Germany)","",";intra-urban space;density models;urban ecology;modèle densitaire;factor analysis;espace intra-urbain;analyse factorielle;transformation;écologie urbain","analyse factorielle,écologie urbaine,espace intra-urbain,modèle densitaire,transformation",";Anne-Marie , Meyer","2003-08-02","en","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10
2636,"14742108451918218311","Une piste pour la recherche de la valeur centrale optimale.Discussion autour de la robustesse et du comportement de la médienne, combinaison de normes Lp","Finding the optimal central location. A discussed approach using the meAdian Lp-norm and its robustness",";location estimator;médienne;filtrage spatial;bootstrap;valeur centrale;meadian;norme Lp;Lp-norm;spatial filtering;central tendency;robustness;robustess","bootstrap,filtrage spatial,médienne,norme Lp,robustesse,valeur centrale",";Didier , Josselin","2004-08-25","fr","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
796,"2470866951207827874","BESSE Jean-Marc, 2003, Face au monde. Atlas, jardins, géoramas, Paris, Desclée de Brouwer, Coll. Arts et esthétique, 244 p.","","","",";Henri , Chamussy","2004-01-22","","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6561,"10163691828183545996","Recherche sur la décollectivisation des campagnes dans les pays de l'Europe Centrale et Orientale","Research in rural areas decollectivization in PECO",";télédétection;remote sensin","télédétection",";Michel , Sivignon;Jean-Paul , Gilg","2000-05-05","fr","true","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Michel SivignonJean-Paul Gilg","Article","Texte intégral",750,47,165,189,109,72,56,57,55,0,0
24766,"347101222304199932","Réaction à la pétition sur l'agrégation","","","",";Gilles , Palsky","2001-01-30","fr","false","30-01-2001","Vie Scientifique Débats Un débat pour l'agrégation","Gilles Palsky","Article","Texte intégral",257,0,0,0,0,13,61,123,60,0,0
5531,"10900616662933262644","Quand l’INSEE projette d’enterrer le recensement de population... et la Géographie avec !","",";France;recensement;populatio","France,population,recensement",";Michel , Bussi","1999-06-20","fr","false","20-06-1999","Vie Scientifique Débats Recensement de la population en continu : choisir le temps et l'espace ?","Michel Bussi","Article","Texte intégral",1862,178,540,394,200,111,111,138,190,3,0
25682,"","Brake K., Herfert G. (dir.), 2012, Reurbanisierung. Materialität und Diskurs in Deutschland. Wiesbaden, Springer, 422 p. [La ré-urbanisation en Allemagne, entre réalités et discours.]","",";Allemagne;urbanisatio","Allemagne,urbanisation",";Hélène , Roth","2013-01-23","fr","false","23-01-2013","Vie Scientifique Revue de livres 2013","Hélène Roth","Compte-rendu","Texte intégral",843,0,0,0,0,0,0,695,148,NA,NA
