id	title	title_en	keywords_en	keywords_fr	authors	date	langue	translated
88	Un voyage de Paul Vidal de la Blache en Espagne dans la huerta de Valence (1906)	A trip by Paul Vidal de la Blache to the Valencia huerta of Spain (1906)	history of geography,Spain,Vidal de la Blache	Espagne,histoire de la géographie,Vidal de la Blache	Courtot Roland	2006-10-13	fr	true
26749	Sala Pala V., 2013, Discriminations ethniques. Les politiques du logement social en France et au Royaume-Uni, Rennes, Presses Universitaires de Rennes, collection « Res Publica », 302 p.				Saint-Julien Thérèse	2015-02-17	fr	false
90	Katrina et la Nouvelle-Orléans : entre risque &quot;naturel&quot; et aménagement par l'absurde	Katrina and the New Orleans : Analyzing New-Orleans' recent disaster	actors' strategy,crisis,environment,hazard,land planning,sustainability,urban development	aménagement,crise,durabilité,environnement,risque,stratégie d'acteur,urbanisation	Mancebo François	2006-10-12	fr	true
7242	Choluteca : ville hondurienne du système Monde ?	Choluteca : honduran city of the world system?	agricultural processing industry,enclave,Honduras,intermediate city,urban actors,world system	acteurs urbains,agro-industrie,enclave,Honduras,système Monde,ville intermédiaire	Hardy Sébastien	2007-06-22	fr	true
2856	The use of Remote Sensing Technology in geological Investigation and mineral Detection in El Azraq-Jordan		data fusion,lineament,lithology,minerals detection,ratio	détection de minerais,fusion de données,linéament,lithologie,rapport spectral	Rawashdeh Samih Al,Saleh Bassam,Hamzah Mufeed	2006-10-23	en	false
129	Cartographie en anamorphose	Anamorphosis Mapping	anamorphosis,cartography	anamorphose,cartographie	Langlois Patrice,Denain Jean-Charles	1996-04-14	fr	true
137	Le prix des maisons individuelles dans la région rouennaise en 1993	The price of private housing in the Rouen urban area in 1993	house price,interpolation,France	prix des logements,interpolation,France	Freire-Diaz Sylviano	1996-06-03	fr	true
145	Interpolation de données ponctuelles				Langlois Patrice	1996-06-05	fr	false
146	Bibliographie sur les transformations cartographiques				Cauvin Colette	1996-06-14	fr	false
148	The debate on the standardization of statistical maps and diagrams (1857-1901). elements for the history of graphical language. 		cartogram,diagram,graphical semiotic,international congresses,map,statistic	carte,cartogramme,congrès internationaux,diagramme,sémiologie graphique,statistique	Palsky Gilles	1999-03-16	en	false
361	Predicting Wine Quality from Terrain Characteristics by Regression Trees		wine quality,terrain characteristic,regression classification,CART,ecology of wine cultivation	qualité du vin,caractéristique du terroir,regréssion catégoriale,CART,écologie viticole	Schwarz Reiner	1997-11-07	en	false
