id	title	title_en	keywords_en	keywords_fr	authors	date	langue	translated	subcountry	country	firstauthor	country2	author2	macroregion
27035	A comparison of two methods for classifying trajectories: a case study on neighbourhood poverty at the intra-metropolitan level in Montreal		latent class growth modelling,k-means,clustering,neighborhood change,poverty,trajectories,Montreal	modélisation de variable latente de croissance,k-means,classification,pauvreté,trajectoires,Montréal	Apparicio Philippe,Riva Mylène,Séguin Anne-Marie	2015-06-04	en	FALSE	Montreal	CA	CA			
27019	L’espace-temps des Turcs et de la Turquie, de l’Eurasie à l’Anatolie : essai de modélisation graphique	Space-time of the Turks and Turkey, from Eurasia to Anatolia : graphic modeling attempt	Turks,Turkey,people,graphic models,chorotype,interface,demographic policy	Turcs,Turquie,peuple,modélisation graphique,chorotype,interface,politique démographique	Bruneau Michel	2015-06-01	fr	TRUE		TR	FR			
27010	Towards a Social and Spatial Risk Perception Framework		risk perception,place,space,exposure to hazards,residential segregation,Bucharest,Romania	perception du risque,représentation du risque,aléas,exposition,ségrégation résidentielle,Buacrest,Roumanie	Rufat Samuel	2015-05-29	en	FALSE	Bucharest	RO	FR			
1551	Modelling interactions between biophysical ans social systems : the example of dynamics of vegetation in Causse Mejan (Fance)		vegetation dynamics,multivariate analysis,Causse Méjan	dynamique végétale,analyse multivariée,Causse Méjan	Cohen Marianne,Alexandre Frédéric,Nicole-Régine Mathieu	2015-05-28	en	FALSE	Lozere	FR	FR			
26991	De la flânerie al tránsito peatonal: la negación del derecho a la ciudad	From flânerie to pedestrian transit : the denial of the right to the city	urban mobility,pedestrian,accessibility,flâneur,Mexico city,the right to the city	mobilité urbaine,piéton,accessibilité,flâneur,Mexico,droit à la ville	Pérez López Ruth	2015-05-26	es	TRUE	Mexico	MX	MX			
26982	Images, textes et visions du monde : les dispositifs à l’œuvre dans les magazines grand-public de géographie	Iconology, texts and worldviews: the ways of objectifying reality in mainstream magazines dealing with geography	epistemology of geography,geographical magazines,popularization,media,discourse,representation,worldview	épistémologie de la géographie,magazines de géographie,vulgarisation,médias,discours,représentation,vision du monde	Labinal Guilhem	2015-05-19	fr	TRUE			FR			
26977	L’AAG pour les nuls	The AAG for Dummies	AAG,meeting,geography,United States	AAG,colloque,géographie,États-Unis	Blidon Marianne	2015-05-13	fr	TRUE		US	FR			
26969	Identification des variables expliquant la distribution spatiale d’oiseaux de la forêt boréale et modélisation de tendances futures : une approche multivariée		ecology,multivariate analysis,biogeography,Québec,climate change	écologie,analyse multivariée,biogéographie,Québec,changements climatiques	Gaudreau Jonathan,Perez Liliana,Legendre Pierre	2015-05-11	fr	FALSE	Quebec	CA	CA			
26961	Roger Dion, toujours vivant !		complex system,landscape,territory,area,wine quality,soil characteristics	système complexe,paysage,territoire,qualité du vin,caractéristique du terroir	Delay Etienne,Chevallier Marius	2015-05-06	fr	FALSE			FR			
26949	Complexité et Log-périodicité des remontées mécaniques pour skieurs	Ski lift Innovations, Complexity and Log-Periodicity	ski lifts,fractals,log periodic law,evolutionary tree,complexity	remontées mécaniques,fractales,log-périodicité,temps critiques,complexité	Brissaud Ivan	2015-04-27	fr	TRUE			FR			
26945	The Russian exclave of Kaliningrad. Challenges and limits of its integration in the Baltic region		Kaliningrad,Baltic region,regional integration,exclavisation,cross-border cooperation,geopolitical orientations	Kaliningrad,région baltique,intégration régionale,exclavisation,coopération transfrontalière,orientations géopolitiques	Richard Yann,Sebentsov Alexander,Zotova Maria	2015-04-08	en	FALSE	Kaliningrad	RU	FR	LT.PL	RU	
26921	Géographie d’une maladie émergente en milieu urbain endémique, le cas de la dengue à Delhi, Inde	Geography of an emerging disease in endemic urban milieu: the case of dengue in Delhi	dengue,re-emerging disease,spatio-temporal diffusion,urban area,spatial analysis	dengue,maladie ré-émergente,diffusion spatio-temporelle,ville,analyse spatiale	Telle Olivier	2015-04-07	fr	TRUE	Delhi	IN	FR			
