"","Authoring","Studied","N","c1","X_A","Y_A","c2","X_S","Y_S"
"36","CA","AD",1,"CA",-102.515470389785,58.0403749386076,"AD",1.5498623152065,42.5347538974486
"252.5","FR","AL",4,"FR",2.46155981462731,46.6177606162003,"AL",20.0746708406337,41.1332150182861
"36.6","CA","AM",1,"CA",-102.515470389785,58.0403749386076,"AM",44.9248660144974,40.3028257129851
"182.6","RU","AM",2,"RU",99.1595613921392,61.6595873942864,"AM",44.9248660144974,40.3028257129851
"252.6","FR","AM",3,"FR",2.46155981462731,46.6177606162003,"AM",44.9248660144974,40.3028257129851
"36.9","CA","AQ",1,"CA",-102.515470389785,58.0403749386076,"AQ",21.3546258539183,-80.4674838846175
"252.9","FR","AQ",1,"FR",2.46155981462731,46.6177606162003,"AQ",21.3546258539183,-80.4674838846175
"221.10","US","AR",1,"US",-99.4425594967709,39.3961009899639,"AR",-65.1558667725277,-35.2070929435291
"252.10","FR","AR",2,"FR",2.46155981462731,46.6177606162003,"AR",-65.1558667725277,-35.2070929435291
"36.12","CA","AT",1,"CA",-102.515470389785,58.0403749386076,"AT",14.1551928218431,47.5829011604224
"41.12","CH","AT",1,"CH",8.21011553875218,46.7903177203335,"AT",14.1551928218431,47.5829011604224
"55.12","DE","AT",1,"DE",10.3928249975919,51.0799046830685,"AT",14.1551928218431,47.5829011604224
"219.12","UK","AT",1,"UK",-2.49101280471062,53.927081866194,"AT",14.1551928218431,47.5829011604224
"252.12","FR","AT",15,"FR",2.46155981462731,46.6177606162003,"AT",14.1551928218431,47.5829011604224
"36.13","CA","AU",1,"CA",-102.515470389785,58.0403749386076,"AU",134.341827626603,-25.583713049114
"252.15","FR","AZ",1,"FR",2.46155981462731,46.6177606162003,"AZ",47.663450490113,40.3311624163156
"36.16","CA","BA",1,"CA",-102.515470389785,58.0403749386076,"BA",17.7752084510451,44.1692643410581
"41.16","CH","BA",1,"CH",8.21011553875218,46.7903177203335,"BA",17.7752084510451,44.1692643410581
"252.16","FR","BA",3,"FR",2.46155981462731,46.6177606162003,"BA",17.7752084510451,44.1692643410581
"20.18","BE","BD",1,"BE",4.67174670598386,50.638844213958,"BD",90.2438407758021,23.9026158720736
"252.18","FR","BD",1,"FR",2.46155981462731,46.6177606162003,"BD",90.2438407758021,23.9026158720736
"36.19","CA","BE",2,"CA",-102.515470389785,58.0403749386076,"BE",4.67174670598386,50.638844213958
"41.19","CH","BE",1,"CH",8.21011553875218,46.7903177203335,"BE",4.67174670598386,50.638844213958
"219.19","UK","BE",1,"UK",-2.49101280471062,53.927081866194,"BE",4.67174670598386,50.638844213958
"252.19","FR","BE",20,"FR",2.46155981462731,46.6177606162003,"BE",4.67174670598386,50.638844213958
"252.20","FR","BF",5,"FR",2.46155981462731,46.6177606162003,"BF",-1.76041056821332,12.2675591755195
"36.21","CA","BG",1,"CA",-102.515470389785,58.0403749386076,"BG",25.2654961289758,42.7583219826843
"41.21","CH","BG",1,"CH",8.21011553875218,46.7903177203335,"BG",25.2654961289758,42.7583219826843
"252.21","FR","BG",9,"FR",2.46155981462731,46.6177606162003,"BG",25.2654961289758,42.7583219826843
"252.23","FR","BI",1,"FR",2.46155981462731,46.6177606162003,"BI",29.9073341766105,-3.35537300251039
"252.24","FR","BJ",1,"FR",2.46155981462731,46.6177606162003,"BJ",2.34147686056154,9.63526551271956
"36.26","CA","BN",1,"CA",-102.515470389785,58.0403749386076,"BN",114.57417134519,4.49096511007474
"36.27","CA","BO",1,"CA",-102.515470389785,58.0403749386076,"BO",-64.6591968921957,-16.7178904169966
"41.27","CH","BO",1,"CH",8.21011553875218,46.7903177203335,"BO",-64.6591968921957,-16.7178904169966
"252.27","FR","BO",1,"FR",2.46155981462731,46.6177606162003,"BO",-64.6591968921957,-16.7178904169966
"36.28","CA","BR",1,"CA",-102.515470389785,58.0403749386076,"BR",-53.0859245197612,-10.7827319991918
"41.28","CH","BR",1,"CH",8.21011553875218,46.7903177203335,"BR",-53.0859245197612,-10.7827319991918
"221.28","US","BR",1,"US",-99.4425594967709,39.3961009899639,"BR",-53.0859245197612,-10.7827319991918
"252.28","FR","BR",10,"FR",2.46155981462731,46.6177606162003,"BR",-53.0859245197612,-10.7827319991918
"252.32","FR","BW",1,"FR",2.46155981462731,46.6177606162003,"BW",23.8086714659539,-22.1924430646269
"36.33","CA","BY",1,"CA",-102.515470389785,58.0403749386076,"BY",28.0595317357277,53.5393825251807
"41.33","CH","BY",1,"CH",8.21011553875218,46.7903177203335,"BY",28.0595317357277,53.5393825251807
"128.35","LU","CA",1,"LU",6.10943333054036,49.7823577636279,"CA",-102.515470389785,58.0403749386076
"221.35","US","CA",1,"US",-99.4425594967709,39.3961009899639,"CA",-102.515470389785,58.0403749386076
"252.35","FR","CA",8,"FR",2.46155981462731,46.6177606162003,"CA",-102.515470389785,58.0403749386076
"252.38","FR","CF",1,"FR",2.46155981462731,46.6177606162003,"CF",20.5018919883068,6.57605028869312
"252.39","FR","CG",1,"FR",2.46155981462731,46.6177606162003,"CG",15.2420257202524,-0.831742302193923
"36.40","CA","CH",1,"CA",-102.515470389785,58.0403749386076,"CH",8.21011553875218,46.7903177203335
"55.40","DE","CH",1,"DE",10.3928249975919,51.0799046830685,"CH",8.21011553875218,46.7903177203335
"219.40","UK","CH",1,"UK",-2.49101280471062,53.927081866194,"CH",8.21011553875218,46.7903177203335
"252.40","FR","CH",11,"FR",2.46155981462731,46.6177606162003,"CH",8.21011553875218,46.7903177203335
"252.41","FR","CI",3,"FR",2.46155981462731,46.6177606162003,"CI",-5.56221500353294,7.63136573333486
"252.43","FR","CL",2,"FR",2.46155981462731,46.6177606162003,"CL",-71.1945286661923,-35.0651757255543
"82.44","GN","CM",1,"GN",-10.9224287349139,10.4244246101515,"CM",12.7630373126332,5.71975403993217
"252.44","FR","CM",4,"FR",2.46155981462731,46.6177606162003,"CM",12.7630373126332,5.71975403993217
"20.45","BE","CN",1,"BE",4.67174670598386,50.638844213958,"CN",103.88807031688,36.6300670681948
"36.45","CA","CN",2,"CA",-102.515470389785,58.0403749386076,"CN",103.88807031688,36.6300670681948
"41.45","CH","CN",3,"CH",8.21011553875218,46.7903177203335,"CN",103.88807031688,36.6300670681948
"55.45","DE","CN",1,"DE",10.3928249975919,51.0799046830685,"CN",103.88807031688,36.6300670681948
"182.45","RU","CN",1,"RU",99.1595613921392,61.6595873942864,"CN",103.88807031688,36.6300670681948
"219.45","UK","CN",1,"UK",-2.49101280471062,53.927081866194,"CN",103.88807031688,36.6300670681948
"221.45","US","CN",2,"US",-99.4425594967709,39.3961009899639,"CN",103.88807031688,36.6300670681948
