"","source","target","value"
"1","Climate.and.environment","Amenagement",5.77112509650731
"2","Climate.and.environment","Carte",0.506036783675959
"3","Climate.and.environment","Commune",0.274257705971461
"4","Climate.and.environment","Deplacement",0.57736623156854
"5","Climate.and.environment","Eau",1.75874827244726
"6","Climate.and.environment","EN",2.93540739975324
"7","Climate.and.environment","Entreprise",0.413550670004221
"8","Climate.and.environment","Frontiere",0.0768841362753116
"9","Climate.and.environment","Geographie",0.639795410294088
"10","Climate.and.environment","Ile",0.217685909051471
"11","Climate.and.environment","Image",1.0445235556339
"12","Climate.and.environment","Indice",0.0101797884589025
"13","Climate.and.environment","Other",0.152351882792928
"14","Climate.and.environment","Paysage",0.561727751398465
"15","Climate.and.environment","Quartier",0.0498081753716883
"16","Climate.and.environment","Risque",5.32273779991569
"17","Climate.and.environment","Village",0.583742683287286
"18","Climate.and.environment","Ville_Agglomeration",0.269157283595515
"19","Climate.and.environment","Ville_Femme",0.762246200282086
"20","Climate.and.environment","Vote",0.474010364914675
"21","Development.territory.system.of.cities","Amenagement",2.06484903864012
"22","Development.territory.system.of.cities","Carte",1.65855996217607
"23","Development.territory.system.of.cities","Commune",4.39112248104415
"24","Development.territory.system.of.cities","Deplacement",1.57944260382852
"25","Development.territory.system.of.cities","Eau",6.60434757788416
"26","Development.territory.system.of.cities","EN",2.14866219189799
"27","Development.territory.system.of.cities","Entreprise",3.35739079847184
"28","Development.territory.system.of.cities","Frontiere",2.5216467409788
"29","Development.territory.system.of.cities","Geographie",2.53182030038715
"30","Development.territory.system.of.cities","Ile",1.64982395203789
"31","Development.territory.system.of.cities","Image",1.86553889145463
"32","Development.territory.system.of.cities","Indice",0.649145860411401
"33","Development.territory.system.of.cities","Other",3.96331417468561
"34","Development.territory.system.of.cities","Paysage",1.2604396577553
"35","Development.territory.system.of.cities","Quartier",2.69189699972984
"36","Development.territory.system.of.cities","Risque",1.10098410380391
"37","Development.territory.system.of.cities","Village",0.489092825940946
"38","Development.territory.system.of.cities","Ville_Agglomeration",2.74928668919436
"39","Development.territory.system.of.cities","Ville_Femme",1.27866094982266
"40","Development.territory.system.of.cities","Vote",1.65618976245465
"41","Economic.geography","Amenagement",0.212545305607928
"42","Economic.geography","Carte",1.29557408205782
"43","Economic.geography","Commune",0.239199912347204
"44","Economic.geography","Deplacement",0.0221560537942762
"45","Economic.geography","Eau",1.32691197604823
"46","Economic.geography","EN",0.710294865168555
